t	Sol_x	Sol_y	Mercurio_x	Mercurio_y	Venus_x	Venus_y	Tierra_x	Tierra_y	Marte_x	Marte_y	Jupiter_x	Jupiter_y	Saturno_x	Saturno_y	Urano_x	Urano_y	Neptuno_x	Neptuno_y	
9.30000	0.00814329	0.03270090	0.13554559	0.39529249	0.28811378	0.69807288	-0.38836371	0.94915761	1.43615557	-0.49990424	0.98927749	-5.08595188	-3.84892545	8.76414494	14.72241491	12.25269748	28.19501904	10.38263246	
9.40000	0.00794895	0.03299651	-0.26480653	-0.23259621	-0.41526591	0.61558692	-0.85205581	0.53959070	1.53165038	-0.00215745	1.25802865	-5.02602920	-4.03418462	8.68067516	14.62971562	12.36203844	28.15492158	10.48946793	
9.50000	0.00775537	0.03328161	0.38171516	0.13221973	-0.70880500	-0.02991567	-0.98545810	-0.06450054	1.45880814	0.49945922	1.52329311	-4.95199630	-4.21760856	8.59327897	14.53619060	12.47068300	28.11441310	10.59615073	
9.60000	0.00756276	0.03355440	-0.36182297	0.12108456	-0.30757183	-0.61423417	-0.73730922	-0.63104728	1.22565324	0.94956062	1.78432895	-4.86405380	-4.39911424	8.50199657	14.44184496	12.57862493	28.07349418	10.70267929	
9.70000	0.00737258	0.03381307	0.30011470	-0.21807059	0.39880873	-0.57307263	-0.20317927	-0.94251861	0.85791902	1.29844724	2.04040557	-4.76244147	-4.57861954	8.40686994	14.34668393	12.68585801	28.03216539	10.80905204	
9.80000	0.00718817	0.03405742	-0.11895426	0.39447523	0.72998505	0.05110389	0.41173733	-0.87977370	0.39620948	1.50759529	2.29080577	-4.64743762	-4.75604325	8.30794275	14.25071272	12.79237609	27.99042730	10.91526742	
9.90000	0.00701137	0.03428966	-0.03863836	-0.34594341	0.36923199	0.65891620	0.87191238	-0.46731873	-0.10848270	1.55391628	2.53482782	-4.51935835	-4.93130513	8.20526043	14.15393664	12.89817303	27.94828050	11.02132387	
10.00000	0.00684253	0.03451158	0.23959757	0.34164166	-0.33877191	0.66641617	1.00156298	0.13685812	-0.60040973	1.43231333	2.77178744	-4.37855669	-5.10432591	8.09887005	14.05636101	13.00324274	27.90572556	11.12721984	
10.10000	0.00668090	0.03472466	-0.33479980	-0.13197541	-0.71206369	0.06350203	0.75120239	0.70191517	-1.02523258	1.15624838	3.00101983	-4.22542169	-5.27502739	7.98882038	13.95799122	13.10757915	27.86276308	11.23295377	
10.20000	0.00652553	0.03492821	0.39306897	0.01610428	-0.38840073	-0.56730582	0.21625090	1.01186096	-1.33603042	0.75625495	3.22188149	-4.06037731	-5.44333239	7.87516184	13.85883268	13.21117625	27.81939366	11.33852410	
10.30000	0.00637758	0.03512161	-0.31727786	0.23424143	0.31768604	-0.61629209	-0.39892358	0.94774198	-1.49848802	0.27655870	3.43375215	-3.88388128	-5.60916487	7.75794644	13.75889087	13.31402806	27.77561790	11.44392928	
10.40000	0.00623812	0.03530523	0.20803820	-0.29298292	0.72539436	-0.03914159	-0.85858194	0.53361728	-1.49468582	-0.22981588	3.63603654	-3.69642381	-5.77244990	7.63722783	13.65817131	13.41612863	27.73143641	11.54916777	
10.50000	0.00610841	0.03548010	-0.00236499	0.41836192	0.44467638	0.60933967	-0.98609437	-0.07185102	-1.32507311	-0.70690760	3.82816611	-3.49852625	-5.93311372	7.51306120	13.55667956	13.51747206	27.68684980	11.65423800	
10.60000	0.00598803	0.03564799	-0.15460077	-0.31078554	-0.25641691	0.70661865	-0.73242641	-0.63610009	-1.00840995	-1.10199901	4.00960069	-3.29073960	-6.09108377	7.38550331	13.45442121	13.61805247	27.64185869	11.75913844	
10.70000	0.00587598	0.03580853	0.32171164	0.25806251	-0.70332181	0.15613706	-0.19524599	-0.94251478	-0.57968929	-1.37143341	4.17983005	-3.07364299	-6.24628873	7.25461243	13.35140192	13.71786405	27.59646371	11.86386753	
10.80000	0.00577260	0.03596099	-0.37037175	-0.01522489	-0.46253772	-0.51089483	0.41910964	-0.87394598	-0.08627434	-1.48543048	4.33837535	-2.84784204	-6.39865852	7.12044832	13.24762738	13.81690099	27.55066548	11.96842375	
10.90000	0.00567914	0.03610429	0.36825762	-0.09869556	0.23183089	-0.64930425	0.87537360	-0.45717381	0.41732474	-1.43137108	4.48479061	-2.61396711	-6.54812439	6.98307222	13.14310333	13.91515755	27.50446465	12.07280554	
11.00000	0.00559862	0.03623913	-0.24003413	0.32710587	0.70954446	-0.12847124	0.99930201	0.14813449	0.87546580	-1.21519512	4.61866394	-2.37267157	-6.69461887	6.84254682	13.03783554	14.01262802	27.45786185	12.17701137	
11.10000	0.00553228	0.03636833	0.09709262	-0.33687953	0.51334484	0.55023795	0.74362619	0.71067572	1.23751911	-0.86075683	4.73961875	-2.12462986	-6.83807588	6.69893620	12.93182984	14.10930673	27.41085772	12.28103971	
