t,Sol_x,Sol_y,Mercurio_x,Mercurio_y,Venus_x,Venus_y,Tierra_x,Tierra_y,Marte_x,Marte_y,Jupiter_x,Jupiter_y,Saturno_x,Saturno_y,Urano_x,Urano_y,Neptuno_x,Neptuno_y,
7.700000,0.011126,0.026326,-0.353605,0.131743,-0.629724,-0.300874,-0.218208,-0.945737,1.283049,0.865683,-3.168631,-4.117220,-0.705775,9.539910,16.089288,10.413759,28.780243,8.653785,
7.800000,0.010973,0.026812,0.291523,-0.238391,-0.039500,-0.692468,0.397837,-0.894649,0.937425,1.236769,-2.945993,-4.277755,-0.908532,9.523238,16.010462,10.533365,28.746794,8.762849,
7.900000,0.010813,0.027284,-0.097951,0.393526,0.600210,-0.390868,0.865888,-0.490926,0.489404,1.474125,-2.715161,-4.426361,-1.110872,9.502247,15.930733,10.652380,28.712926,8.871786,
8.000000,0.010648,0.027745,-0.053051,-0.349673,0.675314,0.311876,1.007157,0.110867,-0.011512,1.551581,-2.476772,-4.562620,-1.312702,9.476948,15.850108,10.770796,28.678638,8.980593,
8.100000,0.010479,0.028196,0.257503,0.324190,0.113937,0.742165,0.767711,0.680891,-0.509983,1.460644,-2.231484,-4.686147,-1.513930,9.447353,15.768590,10.888606,28.643933,9.089270,
8.200000,0.010305,0.028638,-0.338784,-0.121241,-0.546196,0.485083,0.238786,1.001333,-0.950954,1.211434,-1.979976,-4.796594,-1.714466,9.413476,15.686184,11.005805,28.608809,9.197815,
8.300000,0.010125,0.029071,0.395366,-0.007705,-0.667163,-0.213531,-0.377559,0.949310,-1.285737,0.831551,-1.722944,-4.893648,-1.914218,9.375332,15.602893,11.122384,28.573268,9.306226,
8.400000,0.009937,0.029492,-0.303762,0.244148,-0.131535,-0.677267,-0.845154,0.544352,-1.477385,0.363019,-1.461100,-4.977032,-2.113096,9.332940,15.518724,11.238338,28.537311,9.414502,
8.500000,0.009744,0.029901,0.195805,-0.307354,0.541392,-0.459341,-0.984363,-0.058304,-1.504763,-0.142361,-1.195169,-5.046508,-2.311008,9.286319,15.433680,11.353660,28.500937,9.522641,
8.600000,0.009548,0.030295,0.019329,0.413357,0.704875,0.228162,-0.741691,-0.627098,-1.364870,-0.628730,-0.925890,-5.101876,-2.507867,9.235492,15.347767,11.468343,28.464147,9.630641,
8.700000,0.009350,0.030678,-0.167603,-0.307472,0.202626,0.725976,-0.210607,-0.943589,-1.073172,-1.042328,-0.654010,-5.142976,-2.703582,9.180483,15.260988,11.582381,28.426942,9.738501,
8.800000,0.009149,0.031048,0.335128,0.238373,-0.484726,0.554843,0.404854,-0.886673,-0.661899,-1.337425,-0.380286,-5.169685,-2.898064,9.121315,15.173348,11.695768,28.389322,9.846220,
8.900000,0.008947,0.031405,-0.369209,-0.001409,-0.693715,-0.122731,0.868956,-0.478582,-0.176494,-1.481371,-0.105478,-5.181924,-3.091226,9.058018,15.084853,11.808496,28.351288,9.953795,
9.000000,0.008743,0.031749,0.364589,-0.119762,-0.221428,-0.651054,1.004407,0.124423,0.329398,-1.458214,0.169649,-5.179650,-3.282979,8.990620,14.995508,11.920559,28.312840,10.061226,
9.100000,0.008540,0.032079,-0.222851,0.334596,0.473853,-0.520405,0.759475,0.692002,0.799861,-1.270464,0.444327,-5.162863,-3.473238,8.919153,14.905316,12.031952,28.273979,10.168510,
9.200000,0.008340,0.032396,0.082100,-0.344568,0.723144,0.140784,0.227475,1.007227,1.182893,-0.938826,0.717791,-5.131603,-3.661915,8.843650,14.814283,12.142666,28.234705,10.275646,
9.300000,0.008143,0.032701,0.135546,0.395292,0.288114,0.698073,-0.388364,0.949158,1.436156,-0.499904,0.989277,-5.085952,-3.848925,8.764145,14.722415,12.252697,28.195019,10.382632,
9.400000,0.007949,0.032997,-0.264807,-0.232596,-0.415266,0.615587,-0.852056,0.539591,1.531650,-0.002157,1.258029,-5.026029,-4.034185,8.680675,14.629716,12.362038,28.154922,10.489468,
9.500000,0.007755,0.033282,0.381715,0.132220,-0.708805,-0.029916,-0.985458,-0.064501,1.458808,0.499459,1.523293,-4.951996,-4.217609,8.593279,14.536191,12.470683,28.114413,10.596151,
9.600000,0.007563,0.033554,-0.361823,0.121085,-0.307572,-0.614234,-0.737309,-0.631047,1.225653,0.949561,1.784329,-4.864054,-4.399114,8.501997,14.441845,12.578625,28.073494,10.702679,
9.700000,0.007373,0.033813,0.300115,-0.218071,0.398809,-0.573073,-0.203179,-0.942519,0.857919,1.298447,2.040406,-4.762441,-4.578620,8.406870,14.346684,12.685858,28.032165,10.809052,
9.800000,0.007188,0.034057,-0.118954,0.394475,0.729985,0.051104,0.411737,-0.879774,0.396209,1.507595,2.290806,-4.647438,-4.756043,8.307943,14.250713,12.792376,27.990427,10.915267,
9.900000,0.007011,0.034290,-0.038638,-0.345943,0.369232,0.658916,0.871912,-0.467319,-0.108483,1.553916,2.534828,-4.519358,-4.931305,8.205260,14.153937,12.898173,27.948280,11.021324,
10.000000,0.006843,0.034512,0.239598,0.341642,-0.338772,0.666416,1.001563,0.136858,-0.600410,1.432313,2.771787,-4.378557,-5.104326,8.098870,14.056361,13.003243,27.905726,11.127220,
10.100000,0.006681,0.034725,-0.334800,-0.131975,-0.712064,0.063502,0.751202,0.701915,-1.025233,1.156248,3.001020,-4.225422,-5.275027,7.988820,13.957991,13.107579,27.862763,11.232954,
10.200000,0.006526,0.034928,0.393069,0.016104,-0.388401,-0.567306,0.216251,1.011861,-1.336030,0.756255,3.221881,-4.060377,-5.443332,7.875162,13.858833,13.211176,27.819394,11.338524,
10.300000,0.006378,0.035122,-0.317278,0.234241,0.317686,-0.616292,-0.398924,0.947742,-1.498488,0.276559,3.433752,-3.883881,-5.609165,7.757946,13.758891,13.314028,27.775618,11.443929,
10.400000,0.006238,0.035305,0.208038,-0.292983,0.725394,-0.039142,-0.858582,0.533617,-1.494686,-0.229816,3.636037,-3.696424,-5.772450,7.637228,13.658171,13.416129,27.731436,11.549168,
10.500000,0.006108,0.035480,-0.002365,0.418362,0.444676,0.609340,-0.986094,-0.071851,-1.325073,-0.706908,3.828166,-3.498526,-5.933114,7.513061,13.556680,13.517472,27.686850,11.654238,
10.600000,0.005988,0.035648,-0.154601,-0.310786,-0.256417,0.706619,-0.732426,-0.636100,-1.008410,-1.101999,4.009601,-3.290740,-6.091084,7.385503,13.454421,13.618052,27.641859,11.759138,
10.700000,0.005876,0.035809,0.321712,0.258063,-0.703322,0.156137,-0.195246,-0.942515,-0.579689,-1.371433,4.179830,-3.073643,-6.246289,7.254612,13.351402,13.717864,27.596464,11.863868,
10.800000,0.005773,0.035961,-0.370372,-0.015225,-0.462538,-0.510895,0.419110,-0.873946,-0.086274,-1.485430,4.338375,-2.847842,-6.398659,7.120448,13.247627,13.816901,27.550665,11.968424,
10.900000,0.005679,0.036104,0.368258,-0.098696,0.231831,-0.649304,0.875374,-0.457174,0.417325,-1.431371,4.484791,-2.613967,-6.548124,6.983072,13.143103,13.915158,27.504465,12.072806,
11.000000,0.005599,0.036239,-0.240034,0.327106,0.709544,-0.128471,0.999302,0.148134,0.875466,-1.215195,4.618664,-2.372672,-6.694619,6.842547,13.037836,14.012628,27.457862,12.177011,
11.100000,0.005532,0.036368,0.097093,-0.336880,0.513345,0.550238,0.743626,0.710676,1.237519,-0.860757,4.739619,-2.124630,-6.838076,6.698936,12.931830,14.109307,27.410858,12.281040,
11.200000,0.005480,0.036494,0.115534,0.404513,-0.169460,0.735660,0.205824,1.015387,1.463466,-0.407197,4.847315,-1.870536,-6.978431,6.552306,12.825092,14.205188,27.363453,12.384889,
11.300000,0.005440,0.036619,-0.254268,-0.241959,-0.682642,0.246626,-0.408608,0.945275,1.528330,0.095380,4.941450,-1.611100,-7.115620,6.402723,12.717628,14.300266,27.315648,12.488558,
11.400000,0.005409,0.036742,0.374294,0.152962,-0.528749,-0.445738,-0.864152,0.526654,1.424945,0.591455,5.021758,-1.347049,-7.249582,6.250254,12.609444,14.394536,27.267444,12.592044,
11.500000,0.005390,0.036861,-0.367785,0.106300,0.142628,-0.671459,-0.985692,-0.080101,1.164739,1.026233,5.088016,-1.079121,-7.380256,6.094971,12.500546,14.487992,27.218841,12.695347,
11.600000,0.005381,0.036977,0.309668,-0.201036,0.682761,-0.215376,-0.726448,-0.641931,0.776469,1.351702,5.140036,-0.808067,-7.507584,5.936943,12.390939,14.580628,27.169840,12.798465,
11.700000,0.005387,0.037089,-0.137849,0.390855,0.574245,0.482676,-0.186211,-0.943171,0.303034,1.531933,5.177673,-0.534645,-7.631508,5.776242,12.280631,14.672440,27.120442,12.901397,
11.800000,0.005407,0.037201,-0.022094,-0.344983,-0.079269,0.753167,0.427547,-0.868704,-0.203269,1.547037,5.200823,-0.259622,-7.751971,5.612942,12.169626,14.763421,27.070647,13.004140,
11.900000,0.005440,0.037314,0.223402,0.354899,-0.650297,0.333457,0.879865,-0.447596,-0.686511,1.395360,5.209421,0.016232,-7.868921,5.447116,12.057932,14.853566,27.020456,13.106693,
12.000000,0.005485,0.037427,-0.327595,-0.145699,-0.585737,-0.372902,0.998071,0.158845,-1.093307,1.093664,5.203445,0.292146,-7.982304,5.278840,11.945554,14.942870,26.969870,13.209055,
